Attempt,Covariate,Dataset,Correlation,AbsoluteCorrelation,SampleSize,SampleSizeIncluded,ESS
27,mean_bmi,Weighted,-0.0370663393586609,0.0370663393586609,29852167,29852167,12432571.0053505
27,smoke_rate,Weighted,-0.00629335533480269,0.00629335533480269,29852167,29852167,12432571.0053505
27,hispanic,Weighted,-0.022055823470841,0.022055823470841,29852167,29852167,12432571.0053505
27,prop_blk,Weighted,0.0146638285900614,0.0146638285900614,29852167,29852167,12432571.0053505
27,PIR,Weighted,0.00287184965971131,0.00287184965971131,29852167,29852167,12432571.0053505
27,poverty,Weighted,-0.0122291505587015,0.0122291505587015,29852167,29852167,12432571.0053505
27,education,Weighted,0.0336456032193318,0.0336456032193318,29852167,29852167,12432571.0053505
27,popdensity,Weighted,0.0111211277121364,0.0111211277121364,29852167,29852167,12432571.0053505
27,prop_owner_occ,Weighted,0.00252608505209663,0.00252608505209663,29852167,29852167,12432571.0053505
27,summer_tmmx,Weighted,-0.00918823275645039,0.00918823275645039,29852167,29852167,12432571.0053505
27,summer_rmax,Weighted,-0.0486109521674597,0.0486109521674597,29852167,29852167,12432571.0053505
27,MW,Weighted,-0.0247801694473649,0.0247801694473649,29852167,29852167,12432571.0053505
27,NE,Weighted,0.0286628549228343,0.0286628549228343,29852167,29852167,12432571.0053505
27,S,Weighted,-0.0103904175580929,0.0103904175580929,29852167,29852167,12432571.0053505
27,W,Weighted,0.00918173903053372,0.00918173903053372,29852167,29852167,12432571.0053505
27,mean_bmi,Unweighted,-0.0984656489290789,0.0984656489290789,29852167,-1,29852167
27,smoke_rate,Unweighted,-0.0143807718325557,0.0143807718325557,29852167,-1,29852167
27,hispanic,Unweighted,0.00886247347169377,0.00886247347169377,29852167,-1,29852167
27,prop_blk,Unweighted,-0.0263291163079205,0.0263291163079205,29852167,-1,29852167
27,PIR,Unweighted,-0.0345793612346591,0.0345793612346591,29852167,-1,29852167
27,poverty,Unweighted,-0.0245186677421987,0.0245186677421987,29852167,-1,29852167
27,education,Unweighted,0.0626471855613429,0.0626471855613429,29852167,-1,29852167
27,popdensity,Unweighted,-0.00156862222915326,0.00156862222915326,29852167,-1,29852167
27,prop_owner_occ,Unweighted,0.0120133877044804,0.0120133877044804,29852167,-1,29852167
27,summer_tmmx,Unweighted,0.223742828771397,0.223742828771397,29852167,-1,29852167
27,summer_rmax,Unweighted,-0.339966727205008,0.339966727205008,29852167,-1,29852167
27,MW,Unweighted,0.0194546343502291,0.0194546343502291,29852167,-1,29852167
27,NE,Unweighted,-0.00228425191162612,0.00228425191162612,29852167,-1,29852167
27,S,Unweighted,-0.087770898303721,0.087770898303721,29852167,-1,29852167
27,W,Unweighted,0.0919562313596135,0.0919562313596135,29852167,-1,29852167
