Attempt,Covariate,Dataset,Correlation,AbsoluteCorrelation,SampleSize,SampleSizeIncluded,ESS
20,mean_bmi,Matched,-0.0233036846486847,0.0233036846486847,29852167,22359744,1970395.15290352
20,smoke_rate,Matched,-0.0391137228587434,0.0391137228587434,29852167,22359744,1970395.15290352
20,hispanic,Matched,0.0396426862274746,0.0396426862274746,29852167,22359744,1970395.15290352
20,prop_blk,Matched,-0.0125817061225453,0.0125817061225453,29852167,22359744,1970395.15290352
20,PIR,Matched,0.0128984031593288,0.0128984031593288,29852167,22359744,1970395.15290352
20,poverty,Matched,0.00612623219334494,0.00612623219334494,29852167,22359744,1970395.15290352
20,education,Matched,0.0422619799019877,0.0422619799019877,29852167,22359744,1970395.15290352
20,popdensity,Matched,0.0489691210187906,0.0489691210187906,29852167,22359744,1970395.15290352
20,prop_owner_occ,Matched,-0.0146350385415716,0.0146350385415716,29852167,22359744,1970395.15290352
20,summer_tmmx,Matched,0.013314862858834,0.013314862858834,29852167,22359744,1970395.15290352
20,summer_rmax,Matched,-0.00936269907721682,0.00936269907721682,29852167,22359744,1970395.15290352
20,MW,Matched,0.042978425522875,0.042978425522875,29852167,22359744,1970395.15290352
20,NE,Matched,0.048118882682236,0.048118882682236,29852167,22359744,1970395.15290352
20,S,Matched,-0.0487552787421701,0.0487552787421701,29852167,22359744,1970395.15290352
20,W,Matched,-0.0227418116422803,0.0227418116422803,29852167,22359744,1970395.15290352
20,mean_bmi,Unmatched,-0.0984656489290789,0.0984656489290789,29852167,-1,29852167
20,smoke_rate,Unmatched,-0.0143807718325557,0.0143807718325557,29852167,-1,29852167
20,hispanic,Unmatched,0.00886247347169377,0.00886247347169377,29852167,-1,29852167
20,prop_blk,Unmatched,-0.0263291163079205,0.0263291163079205,29852167,-1,29852167
20,PIR,Unmatched,-0.0345793612346591,0.0345793612346591,29852167,-1,29852167
20,poverty,Unmatched,-0.0245186677421987,0.0245186677421987,29852167,-1,29852167
20,education,Unmatched,0.0626471855613429,0.0626471855613429,29852167,-1,29852167
20,popdensity,Unmatched,-0.00156862222915326,0.00156862222915326,29852167,-1,29852167
20,prop_owner_occ,Unmatched,0.0120133877044804,0.0120133877044804,29852167,-1,29852167
20,summer_tmmx,Unmatched,0.223742828771397,0.223742828771397,29852167,-1,29852167
20,summer_rmax,Unmatched,-0.339966727205008,0.339966727205008,29852167,-1,29852167
20,MW,Unmatched,0.0194546343502291,0.0194546343502291,29852167,-1,29852167
20,NE,Unmatched,-0.00228425191162612,0.00228425191162612,29852167,-1,29852167
20,S,Unmatched,-0.087770898303721,0.087770898303721,29852167,-1,29852167
20,W,Unmatched,0.0919562313596135,0.0919562313596135,29852167,-1,29852167
