Attempt,Covariate,Dataset,Correlation,AbsoluteCorrelation,SampleSize,SampleSizeIncluded,ESS
20,mean_bmi,Weighted,-0.109993368547839,0.109993368547839,30813507,30813507,8122755.21586652
20,smoke_rate,Weighted,-0.0555954681829992,0.0555954681829992,30813507,30813507,8122755.21586652
20,hispanic,Weighted,0.0576374798517975,0.0576374798517975,30813507,30813507,8122755.21586652
20,prop_blk,Weighted,0.0363529976460016,0.0363529976460016,30813507,30813507,8122755.21586652
20,PIR,Weighted,0.0606971940583562,0.0606971940583562,30813507,30813507,8122755.21586652
20,poverty,Weighted,0.00336777692128838,0.00336777692128838,30813507,30813507,8122755.21586652
20,education,Weighted,0.0131816948372819,0.0131816948372819,30813507,30813507,8122755.21586652
20,popdensity,Weighted,0.113773530959185,0.113773530959185,30813507,30813507,8122755.21586652
20,prop_owner_occ,Weighted,-0.0744821468339707,0.0744821468339707,30813507,30813507,8122755.21586652
20,summer_tmmx,Weighted,-0.0532768003036496,0.0532768003036496,30813507,30813507,8122755.21586652
20,summer_rmax,Weighted,-0.0969477021810728,0.0969477021810728,30813507,30813507,8122755.21586652
20,MW,Weighted,0.0146113365503826,0.0146113365503826,30813507,30813507,8122755.21586652
20,NE,Weighted,0.0373945328419846,0.0373945328419846,30813507,30813507,8122755.21586652
20,S,Weighted,-0.116715173110348,0.116715173110348,30813507,30813507,8122755.21586652
20,W,Weighted,0.0860461005263301,0.0860461005263301,30813507,30813507,8122755.21586652
20,mean_bmi,Unweighted,-0.319614179354917,0.319614179354917,30813507,-1,30813507
20,smoke_rate,Unweighted,-0.215451502854738,0.215451502854738,30813507,-1,30813507
20,hispanic,Unweighted,0.229800263826227,0.229800263826227,30813507,-1,30813507
20,prop_blk,Unweighted,0.123840401922139,0.123840401922139,30813507,-1,30813507
20,PIR,Unweighted,0.260582671746216,0.260582671746216,30813507,-1,30813507
20,poverty,Unweighted,-0.0135976534159063,0.0135976534159063,30813507,-1,30813507
20,education,Unweighted,-0.014726988720042,0.014726988720042,30813507,-1,30813507
20,popdensity,Unweighted,0.430279500840265,0.430279500840265,30813507,-1,30813507
20,prop_owner_occ,Unweighted,-0.343298851138319,0.343298851138319,30813507,-1,30813507
20,summer_tmmx,Unweighted,-0.0758900564399609,0.0758900564399609,30813507,-1,30813507
20,summer_rmax,Unweighted,-0.227326837399222,0.227326837399222,30813507,-1,30813507
20,MW,Unweighted,0.0213620112444125,0.0213620112444125,30813507,-1,30813507
20,NE,Unweighted,0.148212594583294,0.148212594583294,30813507,-1,30813507
20,S,Unweighted,-0.275308274066014,0.275308274066014,30813507,-1,30813507
20,W,Unweighted,0.174213611644869,0.174213611644869,30813507,-1,30813507
